Site,Data_Source,ISO_Date,Year,Month,Day,Temperature
unitless,unitless,unitless,unitless,unitless,unitless,degrees Celsius (degC)
LTER2,LTER2,2006-02-04,2006,2,4,28.6
LTER2,LTER2,2006-02-05,2006,2,5,28.69
LTER2,LTER2,2006-02-06,2006,2,6,28.68
LTER2,LTER2,2006-02-07,2006,2,7,28.67
LTER2,LTER2,2006-02-08,2006,2,8,28.57
LTER2,LTER2,2006-02-09,2006,2,9,28.6
LTER2,LTER2,2006-02-10,2006,2,10,28.6
LTER2,LTER2,2006-02-11,2006,2,11,28.64
LTER2,LTER2,2006-02-12,2006,2,12,28.74
LTER2,LTER2,2006-02-13,2006,2,13,28.84
LTER2,LTER2,2006-02-14,2006,2,14,28.81
LTER2,LTER2,2006-02-15,2006,2,15,28.86
LTER2,LTER2,2006-02-16,2006,2,16,28.73
LTER2,LTER2,2006-02-17,2006,2,17,28.76
LTER2,LTER2,2006-02-18,2006,2,18,28.8
LTER2,LTER2,2006-02-19,2006,2,19,28.84
LTER2,LTER2,2006-02-20,2006,2,20,28.84
LTER2,LTER2,2006-02-21,2006,2,21,28.78
LTER2,LTER2,2006-02-22,2006,2,22,28.74
LTER2,LTER2,2006-02-23,2006,2,23,28.84
LTER2,LTER2,2006-02-24,2006,2,24,28.87
LTER2,LTER2,2006-02-25,2006,2,25,28.94
LTER2,LTER2,2006-02-26,2006,2,26,28.92
LTER2,LTER2,2006-02-27,2006,2,27,28.98
LTER2,LTER2,2006-02-28,2006,2,28,28.96
LTER2,LTER2,2006-03-01,2006,3,1,28.99
LTER2,LTER2,2006-03-02,2006,3,2,29.12
LTER2,LTER2,2006-03-03,2006,3,3,29.14
LTER2,LTER2,2006-03-04,2006,3,4,29.08
LTER2,LTER2,2006-03-05,2006,3,5,29.1
LTER2,LTER2,2006-03-06,2006,3,6,29.2
LTER2,LTER2,2006-03-07,2006,3,7,29.24
LTER2,LTER2,2006-03-08,2006,3,8,29.19
LTER2,LTER2,2006-03-09,2006,3,9,29.22
LTER2,LTER2,2006-03-10,2006,3,10,29.16
LTER2,LTER2,2006-03-11,2006,3,11,29.13
LTER2,LTER2,2006-03-12,2006,3,12,29.14
LTER2,LTER2,2006-03-13,2006,3,13,29.18
LTER2,LTER2,2006-03-14,2006,3,14,29.24
LTER2,LTER2,2006-03-15,2006,3,15,29.27
LTER2,LTER2,2006-03-16,2006,3,16,29.38
LTER2,LTER2,2006-03-17,2006,3,17,29.4
LTER2,LTER2,2006-03-18,2006,3,18,29.48
LTER2,LTER2,2006-03-19,2006,3,19,29.41
LTER2,LTER2,2006-03-20,2006,3,20,29.25
LTER2,LTER2,2006-03-21,2006,3,21,29.28
LTER2,LTER2,2006-03-22,2006,3,22,29.23
LTER2,LTER2,2006-03-23,2006,3,23,29.17
LTER2,LTER2,2006-03-24,2006,3,24,29.17
LTER2,LTER2,2006-03-25,2006,3,25,29.23
LTER2,LTER2,2006-03-26,2006,3,26,29.33
LTER2,LTER2,2006-03-27,2006,3,27,29.31
LTER2,LTER2,2006-03-28,2006,3,28,29.35
LTER2,LTER2,2006-03-29,2006,3,29,29.28
LTER2,LTER2,2006-03-30,2006,3,30,29.2
LTER2,LTER2,2006-03-31,2006,3,31,29.29
LTER2,LTER2,2006-04-01,2006,4,1,29.32
LTER2,LTER2,2006-04-02,2006,4,2,29.22
LTER2,LTER2,2006-04-03,2006,4,3,29.18
LTER2,LTER2,2006-04-04,2006,4,4,29.28
LTER2,LTER2,2006-04-05,2006,4,5,29.4
LTER2,LTER2,2006-04-06,2006,4,6,29.42
LTER2,LTER2,2006-04-07,2006,4,7,29.39
LTER2,LTER2,2006-04-08,2006,4,8,29.39
LTER2,LTER2,2006-04-09,2006,4,9,29.34
LTER2,LTER2,2006-04-10,2006,4,10,29.35
LTER2,LTER2,2006-04-11,2006,4,11,29.32
LTER2,LTER2,2006-04-12,2006,4,12,29.28
LTER2,LTER2,2006-04-13,2006,4,13,29.26
LTER2,LTER2,2006-04-14,2006,4,14,29.22
LTER2,LTER2,2006-04-15,2006,4,15,29.21
LTER2,LTER2,2006-04-16,2006,4,16,29.24
LTER2,LTER2,2006-04-17,2006,4,17,29.17
LTER2,LTER2,2006-04-18,2006,4,18,29.11
LTER2,LTER2,2006-04-19,2006,4,19,29.08
LTER2,LTER2,2006-04-20,2006,4,20,29.06
LTER2,LTER2,2006-04-21,2006,4,21,28.99
LTER2,LTER2,2006-04-22,2006,4,22,28.91
LTER2,LTER2,2006-04-23,2006,4,23,28.89
LTER2,LTER2,2006-04-24,2006,4,24,28.87
LTER2,LTER2,2006-04-25,2006,4,25,28.77
LTER2,LTER2,2006-04-26,2006,4,26,28.67
LTER2,LTER2,2006-04-27,2006,4,27,28.7
LTER2,LTER2,2006-04-28,2006,4,28,28.8
